COUNTY_ID,COUNTY,TOWN_ID,TOWN,DAY_WORK(7:00~13:00),DAY_WORK(13:00~19:00),DAY_WORK,DAY_WEEKEND(7:00~13:00),DAY_WEEKEND(13:00~19:00),DAY_WEEKEND,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,平日上午活動人數,平日下午活動人數,平日日間活動人數,假日上午活動人數,假日下午活動人數,假日日間活動人數,資料時間
10009,雲林縣,10009190,口湖鄉,13128,13351,13208,15580,15746,15477,109Y11M
10009,雲林縣,10009200,水林鄉,11975,12189,12077,13668,13900,13775,109Y11M
10010,嘉義縣,10010010,太保市,38942,38587,38858,38864,38123,38394,109Y11M
10010,嘉義縣,10010020,朴子市,41493,41657,41343,40667,40285,40439,109Y11M
10010,嘉義縣,10010030,布袋鎮,13586,13687,13569,16682,16800,16399,109Y11M
10010,嘉義縣,10010040,大林鎮,40120,40086,40188,33118,33098,33159,109Y11M
10010,嘉義縣,10010050,民雄鄉,88037,86861,87730,83149,81774,82990,109Y11M
10010,嘉義縣,10010060,溪口鄉,8326,8360,8321,9856,9830,9779,109Y11M
10010,嘉義縣,10010070,新港鄉,24804,24310,24500,25532,25399,25478,109Y11M
10010,嘉義縣,10010080,六腳鄉,12740,12723,12764,15349,15756,15474,109Y11M
10010,嘉義縣,10010090,東石鄉,13589,13956,13754,16270,16931,16305,109Y11M
10010,嘉義縣,10010100,義竹鄉,12945,12860,12872,14077,14116,14059,109Y11M
10010,嘉義縣,10010110,鹿草鄉,9341,9318,9329,9543,9582,9509,109Y11M
10010,嘉義縣,10010120,水上鄉,42072,41945,42051,46367,45842,46461,109Y11M
10010,嘉義縣,10010130,中埔鄉,32114,32149,32165,38599,38801,38688,109Y11M
10010,嘉義縣,10010140,竹崎鄉,23900,24101,23951,29639,29829,29379,109Y11M
10010,嘉義縣,10010150,梅山鄉,14429,14335,14230,18507,18671,17867,109Y11M
10010,嘉義縣,10010160,番路鄉,9888,9971,9885,13805,14254,13262,109Y11M
10010,嘉義縣,10010170,大埔鄉,2058,2129,2092,2550,2606,2533,109Y11M
10010,嘉義縣,10010180,阿里山鄉,6917,6983,6842,11981,11707,11043,109Y11M
10013,屏東縣,10013010,屏東市,187795,189072,188171,184521,184690,184995,109Y11M
10013,屏東縣,10013020,潮州鎮,42370,42794,42442,46892,46815,46942,109Y11M
10013,屏東縣,10013030,東港鎮,37832,38394,38059,39290,39505,39082,109Y11M
10013,屏東縣,10013040,恆春鎮,33750,33253,33514,37417,36080,35766,109Y11M
10013,屏東縣,10013050,萬丹鄉,34058,34673,34240,41144,40765,41013,109Y11M
10013,屏東縣,10013060,長治鄉,29054,29040,29110,31314,30772,31312,109Y11M
10013,屏東縣,10013070,麟洛鄉,8782,8608,8702,10284,10048,10205,109Y11M
10013,屏東縣,10013080,九如鄉,15960,16053,15902,18306,18127,18184,109Y11M
10013,屏東縣,10013090,里港鄉,19307,19220,19144,21484,21304,21356,109Y11M
10013,屏東縣,10013100,鹽埔鄉,22495,22459,22514,23655,23996,23949,109Y11M
10013,屏東縣,10013110,高樹鄉,15760,15714,15625,18405,18556,18315,109Y11M
10013,屏東縣,10013120,萬巒鄉,15294,15452,15344,16629,16836,16721,109Y11M
10013,屏東縣,10013130,內埔鄉,61096,60955,61204,61552,62208,61797,109Y11M
10013,屏東縣,10013140,竹田鄉,12004,12024,11994,13836,13854,13810,109Y11M
10013,屏東縣,10013150,新埤鄉,7620,7757,7675,8777,8811,8795,109Y11M
10013,屏東縣,10013160,枋寮鄉,21181,21151,21076,20237,20345,20126,109Y11M
